Lexie's opinion!,,class,label,description
,991,repayment.1_yr_repayment.middle_income,MD_INC_RPY_1YR_N,"Number of students in the 1-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
,992,completion.title_iv.loan_recip.transf_still_enrolled_2yr_by.3yrs,LOAN_ENRL_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
,993,completion.title_iv.independ.transf_completed_2yr_by.3yrs,IND_COMP_2YR_TRANS_YR3_RT,Percent of independent students who transferred to a 2-year institution and completed within 3 years
,994,academics.program.assoc.personal_culinary,CIP12ASSOC,Associate degree in Personal And Culinary Services.
,995,aid.median_debt.female_students,FEMALE_DEBT_MDN,The median debt for female students
,996,completion.title_iv.depend.transf_completed_4yr_by.3yrs,DEP_COMP_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and completed within 3 years
,997,academics.program.certificate_lt_1_yr.resources,CIP03CERT1,Certificate of less than one academic year in Natural Resources And Conservation.
,998,completion.title_iv.first_gen.transf_withdrawn_2yr_by.4yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 4 years
,999,earnings.10_yrs_after_entry.working_not_enrolled.earnings_percentile.10,pct10_earn_wne_p10,10th percentile of earnings of students working and not enrolled 10 years after entry
,1000,student.share_independent_lowincome.0_30000,DEP_INC_PCT_LO,"Percentage of students who are financially independent and have family incomes between $0-30,000"
,1001,academics.program.certificate_lt_1_yr.language,CIP16CERT1,"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics."
,1002,admissions.sat_scores.midpoint.writing,SATWRMID,Midpoint of SAT scores at the institution (writing)
,1003,earnings.8_yrs_after_entry.mean_earnings,mn_earn_wne_p8,Mean earnings of students working and not enrolled 8 years after entry
,1004,completion.title_iv.loan_recip.still_enrolled_by.3yrs,LOAN_ENRL_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 3 years
,1005,completion.title_iv.pell_recip.completed_by.8yrs,PELL_COMP_ORIG_YR8_RT,Percent of students who received a Pell Grant at the institution and who completed in 8 years at original institution
,1006,school.minority_serving.aanipi,AANAPII,Flag for Asian American Native American Pacific Islander-serving institution
,1007,admissions.act_scores.75th_percentile.cumulative,ACTCM75,75th percentile of the ACT cumulative score
,1008,completion.title_iv.loan_recip.unknown_by.8yrs,LOAN_UNKN_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and with status unknown within 8 years at original institution
,1009,academics.program.certificate_lt_4_yr.physical_science,CIP40CERT4,Award of more than two but less than four academic years in Physical Sciences.
,1010,completion.title_iv.mid_inc.transf_withdrawn_4yr_by.8yrs,MD_INC_WDRAW_4YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 8 years"
,1011,completion.3_yr_completion.no_first_generation_students,NOT1STGEN_YR3_N,Number of not-first-generation students in overall 3-year completion cohort
,1012,aid.median_debt.number.income.30001_75000,MD_INC_DEBT_N,"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
,1013,completion.title_iv.high_inc.transf_still_enrolled_4yr_by.8yrs,HI_INC_ENRL_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 8 years"
,1014,academics.program_percentage.theology_religious_vocation,PCIP39,Percentage of degrees awarded in Theology And Religious Vocations.
,1015,completion.title_iv.no_pell.died_by.6yrs,NOPELL_DEATH_YR6_RT,Percent of students who never received a Pell Grant at the institution and who died within 6 years at original institution
,1016,repayment.7_yr_repayment.pell_grant,PELL_RPY_7YR_N,Number of students in the 7-year repayment rate of Pell students cohort
,1017,completion.title_iv.female.died_by.6yrs,FEMALE_DEATH_YR6_RT,Percent of female students who died within 6 years at original institution
,1018,academics.program.certificate_lt_4_yr.humanities,CIP24CERT4,"Award of more than two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities."
,1019,completion.title_iv.still_enrolled_by.6yrs,ENRL_ORIG_YR6_RT,Percent still enrolled at original institution within 6 years
,1020,student.share_dependent_highincome.110001plus,DEP_INC_PCT_H2,"Dependent students with family incomes between $110,001+ in nominal dollars"
,1021,completion.title_iv.pell_recip.transf_completed_2yr_by.8yrs,PELL_COMP_2YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 8 years
,1022,completion.title_iv.low_inc.withdrawn_by.3yrs,LO_INC_WDRAW_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 3 years"
,1023,completion.title_iv.no_pell.still_enrolled_by.6yrs,NOPELL_ENRL_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 6 years
,1024,completion.title_iv.low_inc.died_by.8yrs,LO_INC_DEATH_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who died within 8 years at original institution"
,1025,completion.title_iv.male.transf_unknown_2yr_by.8yrs,MALE_UNKN_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 8 years
,1026,student.enrollment.all,UG,Enrollment of all undergraduate students
,1027,academics.program.assoc.visual_performing,CIP50ASSOC,Associate degree in Visual And Performing Arts.
,1028,completion.title_iv.no_pell.completed_by.8yrs,NOPELL_COMP_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and who completed in 8 years at original institution
,1029,completion.title_iv.not_first_gen.completed_by.3yrs,NOT1STGEN_COMP_ORIG_YR3_RT,Percent of not-first-generation students who completed within 3 years at original institution
,1030,student.demographics.over_23_at_entry,agege24,Percent of students over 23 at entry
,1031,academics.program.bachelors.construction,CIP46BACHL,Bachelor's degree in Construction Trades.
,1032,completion.title_iv.female.transf_completed_4yr_by.3yrs,FEMALE_COMP_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and completed within 3 years
,1033,completion.title_iv.female.completed_by.6yrs,FEMALE_COMP_ORIG_YR6_RT,Percent of female students who completed within 6 years at original institution
,1034,completion.title_iv.independ.transf_withdrawn_4yr_by.4yrs,IND_WDRAW_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 4 years
,1035,completion.title_iv.high_inc.still_enrolled_by.6yrs,HI_INC_ENRL_ORIG_YR6_RT,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 6 years"
,1036,completion.title_iv.high_inc.transf_unknown_4yr_by.2yrs,HI_INC_UNKN_4YR_TRANS_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years"
,1037,completion.title_iv.no_loan.completed_by.2yrs,NOLOAN_COMP_ORIG_YR2_RT,Percent of students who never received a federal loan at the institution and who completed in 2 years at original institution
,1038,academics.program_percentage.legal,PCIP22,Percentage of degrees awarded in Legal Professions And Studies.
,1039,completion.title_iv.loan_recip.unknown_by.2yrs,LOAN_UNKN_ORIG_YR2_RT,Percent of students who received a federal loan at the institution and with status unknown within 2 years at original institution
,1040,completion.title_iv.female.unknown_by.4yrs,FEMALE_UNKN_ORIG_YR4_RT,Percent of female students with status unknown within 4 years at original institution
,1041,completion.title_iv.depend.transf_withdrawn_4yr_by.4yrs,DEP_WDRAW_4YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 4 years
,1042,completion.separation_date.median,SEPAR_DT_MDN,Median Date Student Separated
,1043,repayment.repayment_date.median,REPAY_DT_MDN,Median Date Student Enters Repayment
,1044,academics.program.certificate_lt_2_yr.legal,CIP22CERT2,Certificate of at least one but less than two academic years in Legal Professions And Studies.
,1045,completion.title_iv.male.transf_withdrawn_4yr_by.3yrs,MALE_WDRAW_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and withdrew within 3 years
,1046,completion.title_iv.independ.still_enrolled_by.3yrs,IND_ENRL_ORIG_YR3_RT,Percent of independent students who were still enrolled at original institution within 3 years
,1047,completion.title_iv.mid_inc.transf_completed_4yr_by.4yrs,MD_INC_COMP_4YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 4 years"
,1048,repayment.3_yr_repayment_suppressed.completers,COMPL_RPY_3YR_RT_SUPP,"3-year repayment rate for completers, suppressed for n=30"
,1049,completion.title_iv.mid_inc.completed_by.8yrs,MD_INC_COMP_ORIG_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 8 years at original institution"
,1050,completion.title_iv.first_gen.transf_unknown_2yr_by.8yrs,FIRSTGEN_UNKN_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years
,1051,academics.program.certificate_lt_4_yr.personal_culinary,CIP12CERT4,Award of more than two but less than four academic years in Personal And Culinary Services.
,1052,repayment.7_yr_repayment.dependent_students,DEP_RPY_7YR_N,Number of students in the 7-year repayment rate of dependent students cohort
,1053,completion.2_yr_completion.no_loan_students,NOLOAN_YR2_N,Number of no-loan students in overall 2-year completion cohort
,1054,completion.title_iv.independ.still_enrolled_by.2yrs,IND_ENRL_ORIG_YR2_RT,Percent of independent students who were still enrolled at original institution within 2 years 
,1055,repayment.3_yr_repayment_suppressed.pell_grant,PELL_RPY_3YR_RT_SUPP,"3-year repayment rate for Pell students, suppressed for n=30"
,1056,completion.title_iv.mid_inc.transf_withdrawn_2yr_by.2yrs,MD_INC_WDRAW_2YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years "
,1057,cost.title_iv.other_acad_calendar.by_income_level.110001-plus,NUM45_OTHER,"Number of Title IV students, $110,000+ family income (other academic calendar institutions)"
,1058,student.demographics.unemployment,unemp_rate,"Unemployment rate, via Census data"
,1059,completion.title_iv.high_inc.unknown_by.3yrs,HI_INC_UNKN_ORIG_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 3 years at original institution"
,1060,completion.title_iv.no_loan.transf_unknown_4yr_by.6yrs,NOLOAN_UNKN_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
,1061,completion.6_yr_completion.dependent_students,DEP_YR6_N,Number of dependent students in overall 6-year completion cohort
,1062,completion.title_iv.male.withdrawn_by.2yrs,MALE_WDRAW_ORIG_YR2_RT,Percent of male students withdrawn from original institution within 2 years 
,1063,completion.title_iv.high_inc.transf_still_enrolled_4yr_by.4yrs,HI_INC_ENRL_4YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 4 years"
,1064,student.demographics.race_ethnicity.asian_pacific_islander,UGDS_API,Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander
,1065,completion.title_iv.pell_recip.transf_unknown_4yr_by.4yrs,PELL_UNKN_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
,1066,completion.title_iv.male.transf_completed_4yr_by.8yrs,MALE_COMP_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and completed within 8 years
